"mat_code","mat_name","genres","mat_type","anio_prod"
"140127","TIM BURTON'S CORPSE BRIDE","ANIMACIÓN - COMEDIA - FAMILIAR - FANTASÍA - MÚSICA - ROMANCE","LARGOMETRAJE","2005"
"140129","WEDDING CRASHERS","COMEDIA - ROMANCE","LARGOMETRAJE","2005"
"140169","ROBOT CHICKEN","ANIMACIÓN","ESPECIAL/PROGRAM","2007"
"140422","ACCEPTED","COMEDIA","LARGOMETRAJE","2006"
"140423","AMERICAN PIE PRESENTS: BETA HOUSE","COMEDIA","LARGOMETRAJE","2007"
"140426","DAVE CHAPPELLE'S BLOCK PARTY","DOCUMENTAL","LARGOMETRAJE","2006"
"140457","WAIST DEEP","ACCIÓN","LARGOMETRAJE","2006"
"140858","TOTAL DRAMA ACTION","ANIMACIÓN - COMEDIA","EPISODE (ANIMATED)","2009"
"141801","DERAILED","SUSPENSO","LARGOMETRAJE","2005"
"141805","GUARDIAN, THE","ACCIÓN - AVENTURAS - DRAMA","LARGOMETRAJE","2006"
"141810","BASIC INSTINCT 2: RISK ADDICTION","SUSPENSO","LARGOMETRAJE","2006"
"141831","OCEAN'S THIRTEEN","POLICIAL - SUSPENSO","LARGOMETRAJE","2007"
"141835","MUSIC & LYRICS","COMEDIA - MÚSICA - ROMANCE","LARGOMETRAJE","2007"
"141848","UNACCOMPANIED MINORS","AVENTURAS - COMEDIA - FAMILIAR","LARGOMETRAJE","2006"
"141850","HOW TO EAT FRIED WORMS","COMEDIA - FAMILIAR","LARGOMETRAJE","2006"
"141851","HOOT","COMEDIA","LARGOMETRAJE","2006"
"141871","RETURN TO HOUSE ON HAUNTED HILL","TERROR","LARGOMETRAJE","2007"
"141876","TIME MACHINE, THE","CIENCIA FICCIÓN","LARGOMETRAJE","2002"
"142275","DEFINITELY MAYBE","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2008"
"142282","LEATHERHEADS","COMEDIA - DEPORTE - DRAMA - ROMANCE","LARGOMETRAJE","2008"
"142286","NIM'S ISLAND","AVENTURAS - FANTASÍA","LARGOMETRAJE","2008"
"142302","KNOCKED UP","COMEDIA - ROMANCE","LARGOMETRAJE","2007"
"142678","GREATEST GAME EVER PLAYED, THE","DEPORTE - DRAMA","LARGOMETRAJE","2005"
"142680","CHRONICLES OF NARNIA: THE LION, THE WITCH & THE WARDROBER","AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2005"
"142681","HERBIE:FULLY LOADED","AVENTURAS - COMEDIA - FAMILIAR","LARGOMETRAJE","2005"
"142683","SKY HIGH","AVENTURAS - COMEDIA - FAMILIAR","LARGOMETRAJE","2005"
"142705","PURSUIT OF HAPPYNESS","DRAMA","LARGOMETRAJE","2006"
